iter	Passed	Remaining
0	21	4341
1	41	4097
2	65	4307
3	89	4380
4	112	4384
5	140	4529
6	169	4671
7	188	4529
8	206	4374
9	232	4421
10	258	4437
11	280	4396
12	296	4259
13	308	4099
14	325	4010
15	344	3966
16	366	3942
17	380	3845
18	395	3763
19	414	3732
20	432	3684
21	451	3653
22	473	3641
23	494	3629
24	516	3612
25	535	3585
26	550	3527
27	567	3488
28	580	3424
29	598	3391
30	620	3384
31	637	3346
32	651	3297
33	674	3293
34	686	3236
35	710	3236
36	728	3211
37	748	3192
38	760	3138
39	767	3071
40	782	3032
41	790	2973
42	803	2932
43	819	2905
44	842	2901
45	858	2873
46	867	2823
47	882	2794
48	891	2748
49	906	2718
50	927	2710
51	941	2680
52	955	2650
53	971	2625
54	987	2602
55	1005	2586
56	1024	2570
57	1039	2544
58	1054	2520
59	1068	2493
60	1089	2482
61	1109	2469
62	1136	2470
63	1154	2453
64	1170	2430
65	1183	2403
66	1199	2381
67	1215	2360
68	1236	2347
69	1263	2346
70	1290	2345
71	1312	2333
72	1331	2317
73	1353	2305
74	1371	2285
75	1396	2278
76	1412	2255
77	1425	2229
78	1440	2205
79	1468	2203
80	1487	2185
81	1502	2161
82	1515	2135
83	1531	2114
84	1550	2098
85	1565	2074
86	1586	2060
87	1610	2049
88	1635	2040
89	1657	2026
90	1675	2006
91	1700	1995
92	1718	1977
93	1744	1967
94	1768	1954
95	1794	1943
96	1825	1937
97	1850	1926
98	1872	1910
99	1904	1904
100	1925	1887
101	1953	1876
102	1990	1874
103	2007	1852
104	2030	1837
105	2051	1819
106	2074	1803
107	2102	1791
108	2125	1774
109	2150	1759
110	2185	1752
111	2204	1732
112	2220	1709
113	2233	1685
114	2255	1667
115	2272	1645
116	2306	1635
117	2329	1618
118	2348	1598
119	2368	1579
120	2384	1556
121	2403	1536
122	2419	1514
123	2436	1493
124	2455	1473
125	2475	1454
126	2496	1435
127	2517	1415
128	2535	1395
129	2558	1377
130	2580	1359
131	2602	1340
132	2630	1325
133	2652	1306
134	2672	1286
135	2701	1271
136	2725	1253
137	2745	1233
138	2772	1216
139	2789	1195
140	2807	1174
141	2823	1153
142	2851	1136
143	2879	1119
144	2907	1102
145	2924	1081
146	2948	1062
147	2971	1044
148	2998	1026
149	3019	1006
150	3035	984
151	3058	965
152	3085	947
153	3102	926
154	3133	909
155	3152	889
156	3179	870
157	3213	854
158	3238	834
159	3263	815
160	3291	797
161	3314	777
162	3337	757
163	3371	740
164	3402	721
165	3428	702
166	3449	681
167	3485	663
168	3504	642
169	3540	624
170	3573	606
171	3597	585
172	3636	567
173	3659	546
174	3676	525
175	3703	505
176	3731	484
177	3762	465
178	3786	444
179	3820	424
180	3839	402
181	3857	381
182	3879	360
183	3896	338
184	3914	317
185	3929	295
186	3961	275
187	3987	254
188	4002	232
189	4029	212
190	4044	190
191	4066	169
192	4081	148
193	4110	127
194	4128	105
195	4155	84
196	4172	63
197	4200	42
198	4220	21
199	4237	0
